0;1;2;3;4;5;6;7
"id";"nom";"code";"type";"niveauGravite";"geometry";"date_today";"date_today"
"2";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[1.981925,42.877198],[1.981925,42.877198]]]}";"21/05/2024";"21/05/2024"
"5";"CAPNM";"02_972_1";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[-61.115862717,14.690629681],[-61.115862717,14.690629681]]]}";"21/05/2024";"21/05/2024"
"6";"CACEM";"02_972_2";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[-60.99447456,14.673031788],[-60.99447456,14.673031788]]]}";"21/05/2024";"21/05/2024"
"7";"CAESM";"02_972_3";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[-60.983504319,14.486135998],[-60.983504319,14.486135998]]]}";"21/05/2024";"21/05/2024"
"8";"Dombes ? Sud";"84_01_5";"AEP";"Alerte renforcée";"{"type":"MultiPolygon","coordinates":[[[[4.808847087,45.947779057],[4.808847087,45.947779057]]],[[[4.94767275,46.000593059],[4.94767275,46.000593059]]]]}";"21/05/2024";"21/05/2024"
"9";"Secteur Orbieu et affluents rive droite de l?Aude sur ce secteur";"76_11_0007";"AEP";"Alerte renforcée";"{"type":"Polygon","coordinates":[[[2.656594,43.198692],[2.656594,43.198692]]]}";"21/05/2024";"21/05/2024"
"14";"Dombes ? Certines ? Nord";"84_01_4";"AEP";"Alerte";"{"type":"MultiPolygon","coordinates":[[[[4.909524841,46.019168556],[4.909524841,46.019168556]]],[[[4.943288,46.001399],[4.943288,46.001399]]]]}";"21/05/2024";"21/05/2024"
"16";"Secteur Orbiel et affluents rive gauche de l?Aude sur ce secteur";"76_11_0009";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.367443,43.423232],[2.367443,43.423232]]]}";"21/05/2024";"21/05/2024"
"24";"Secteur Aude amont (hors axe réalimenté)";"76_11_0001";"AEP";"Vigilance";"{"type":"Polygon","coordinates":[[[2.075018,42.778143],[2.075018,42.778143]]]}";"21/05/2024";"21/05/2024"
